interval_start_utc,interval_end_utc,respondent,coal,hydro,natural_gas,nuclear,other,petroleum,solar,wind
2022-11-01 00:00:00+00:00,2022-11-02 00:00:00+00:00,PACE,1773.3888888888888889,36.8333333333333333,1049.0000000000000000,0E-20,67.3333333333333333,0E-20,213.9444444444444444,1354.3333333333333333
2022-11-02 00:00:00+00:00,2022-11-03 00:00:00+00:00,PACE,1970.9583333333333333,36.7083333333333333,982.0416666666666667,0E-20,83.7500000000000000,0E-20,44.0000000000000000,1350.9583333333333333
2022-11-03 00:00:00+00:00,2022-11-04 00:00:00+00:00,PACE,1405.7916666666666667,28.9166666666666667,687.2916666666666667,0E-20,106.3750000000000000,0E-20,114.2083333333333333,548.0833333333333333
2022-11-04 00:00:00+00:00,2022-11-05 00:00:00+00:00,PACE,1532.8750000000000000,30.0416666666666667,982.3333333333333333,0E-20,62.3750000000000000,0E-20,330.2916666666666667,956.6666666666666667
2022-11-05 00:00:00+00:00,2022-11-06 00:00:00+00:00,PACE,1629.5833333333333333,31.7083333333333333,651.5416666666666667,0E-20,61.3333333333333333,0E-20,83.1250000000000000,1331.7500000000000000
2022-11-06 00:00:00+00:00,2022-11-07 00:00:00+00:00,PACE,1866.0416666666666667,22.4583333333333333,1015.2083333333333333,0E-20,58.7916666666666667,0E-20,240.8333333333333333,959.3750000000000000
2022-11-07 00:00:00+00:00,2022-11-08 00:00:00+00:00,PACE,1872.4583333333333333,19.7083333333333333,1045.2500000000000000,0E-20,51.7500000000000000,0E-20,187.9583333333333333,1091.3333333333333333
2022-11-08 00:00:00+00:00,2022-11-09 00:00:00+00:00,PACE,1532.1250000000000000,31.3750000000000000,994.2083333333333333,0E-20,42.6666666666666667,0E-20,199.5000000000000000,477.2083333333333333
2022-11-09 00:00:00+00:00,2022-11-10 00:00:00+00:00,PACE,1852.0000000000000000,23.0833333333333333,549.8750000000000000,0E-20,43.3750000000000000,0E-20,108.0416666666666667,334.5000000000000000
2022-11-10 00:00:00+00:00,2022-11-11 00:00:00+00:00,PACE,2036.3333333333333333,21.0833333333333333,831.2916666666666667,0E-20,45.1666666666666667,0E-20,210.2916666666666667,1067.7083333333333333
2022-11-11 00:00:00+00:00,2022-11-12 00:00:00+00:00,PACE,2194.0833333333333333,29.7916666666666667,1094.0833333333333333,0E-20,47.8750000000000000,0E-20,373.3333333333333333,815.0416666666666667
2022-11-12 00:00:00+00:00,2022-11-13 00:00:00+00:00,PACE,2006.1250000000000000,35.2916666666666667,1021.3750000000000000,0E-20,59.8333333333333333,0E-20,280.8333333333333333,880.0416666666666667
2022-11-13 00:00:00+00:00,2022-11-14 00:00:00+00:00,PACE,2350.5416666666666667,27.6250000000000000,1167.8333333333333333,0E-20,95.1666666666666667,0E-20,94.9166666666666667,633.2500000000000000
2022-11-14 00:00:00+00:00,2022-11-15 00:00:00+00:00,PACE,3157.5833333333333333,22.7083333333333333,1285.6250000000000000,0E-20,94.6666666666666667,0E-20,310.4166666666666667,582.8333333333333333
2022-11-15 00:00:00+00:00,2022-11-16 00:00:00+00:00,PACE,2740.4166666666666667,34.6666666666666667,1000.3750000000000000,0E-20,86.5833333333333333,0E-20,361.6250000000000000,889.2916666666666667
2022-11-16 00:00:00+00:00,2022-11-17 00:00:00+00:00,PACE,2059.5833333333333333,24.0000000000000000,1009.8333333333333333,0E-20,84.0416666666666667,0E-20,257.0000000000000000,1086.5833333333333333
2022-11-17 00:00:00+00:00,2022-11-18 00:00:00+00:00,PACE,1498.5833333333333333,22.7916666666666667,620.5000000000000000,0E-20,67.7916666666666667,0E-20,281.0833333333333333,575.5833333333333333
2022-11-18 00:00:00+00:00,2022-11-19 00:00:00+00:00,PACE,2703.6250000000000000,23.2500000000000000,968.4166666666666667,0E-20,89.7083333333333333,0E-20,236.6250000000000000,423.7083333333333333
2022-11-19 00:00:00+00:00,2022-11-20 00:00:00+00:00,PACE,2270.7500000000000000,15.9166666666666667,621.4166666666666667,0E-20,102.5416666666666667,0E-20,245.7500000000000000,1335.8333333333333333
2022-11-20 00:00:00+00:00,2022-11-21 00:00:00+00:00,PACE,2148.4583333333333333,16.5416666666666667,738.8333333333333333,0E-20,96.4166666666666667,0E-20,345.5833333333333333,1521.2916666666666667
2022-11-21 00:00:00+00:00,2022-11-22 00:00:00+00:00,PACE,1673.5833333333333333,14.9583333333333333,1155.0416666666666667,0E-20,73.5000000000000000,0E-20,297.5833333333333333,927.9166666666666667
2022-11-22 00:00:00+00:00,2022-11-23 00:00:00+00:00,PACE,1600.5833333333333333,22.3750000000000000,801.0833333333333333,0E-20,74.0000000000000000,0E-20,263.5000000000000000,758.0833333333333333
2022-11-23 00:00:00+00:00,2022-11-24 00:00:00+00:00,PACE,2065.3750000000000000,25.6250000000000000,800.6250000000000000,0E-20,56.7916666666666667,0E-20,183.7500000000000000,1019.5833333333333333
2022-11-24 00:00:00+00:00,2022-11-25 00:00:00+00:00,PACE,2447.8333333333333333,25.2500000000000000,952.6666666666666667,0E-20,85.8750000000000000,0E-20,195.7500000000000000,606.2083333333333333
2022-11-25 00:00:00+00:00,2022-11-26 00:00:00+00:00,PACE,1860.5000000000000000,28.2916666666666667,824.5416666666666667,0E-20,74.0833333333333333,0E-20,198.4166666666666667,667.9583333333333333
2022-11-26 00:00:00+00:00,2022-11-27 00:00:00+00:00,PACE,1729.0000000000000000,32.3750000000000000,718.1666666666666667,0E-20,73.9166666666666667,0E-20,145.5833333333333333,661.3333333333333333
